Restaurant,Meal,MealType,ItemName,Calories,Protein,TotalFat,TotalCarbs,Sodium,SaturatedFat,TransFat,Cholesterol,Fiber,Sugar
McDonald's,Burgers/Sandwiches,Chicken,Chicken McNuggets (10 piece),470,22,30,30,900,5,0,65,2,0
Burger King,Burgers/Sandwiches,Burger,WHOPPER Sandwich w/o Mayo,470,25,17,57,840,7,0,55,3,13
Wendy's,Dessert,Dessert,Oreo Brownie,470,5,21,68,260,6,0,75,3,50
Wendy's,Breakfast,Breakfast,Toasted Bagel Sandwich with Applewood Smoked Bacon,480,24,18,57,1010,7,0,245,4,8
White Castle ,Dessert,Dessert,Strawberry Shake  Columbus region  small,480,13,11,85,470,8,0,45,0,81
McDonald's,Breakfast,Breakfast,Sausage Biscuit (Large Size Biscuit),480,11,31,39,1190,13,0,30,3,3
White Castle ,Burgers/Sandwiches,Fish,Surf & Turf Slider without Cheese ,480,19,33,26,720,8,1,35,2,2
White Castle ,Side,Side,Home-style Onion Rings  Medium,480,6,33,40,580,5,0,0,2,7
Burger King,Burgers/Sandwiches,Chicken,Chicken Crisp Sandwich- Spicy,480,17,27,40,930,5,1,45,2,6
Wendy's,Salad,Salad,Spicy Chicken Caesar Salad,480,35,27,24,1030,12,1,90,6,3
White Castle ,Side,Side,Onion Chips    Small,480,4,36,33,690,6,0,0,6,4
Burger King,Side,Side,Chicken BLT Garden Fresh Salad Wrap- crispy,490,22,27,43,1340,7,0,50,4,4
White Castle ,Dessert,Dessert,Chocolate Shake  Indianapolis region  small,490,12,15,88,350,9,0,75,3,67
White Castle ,Dessert,Dessert,Chocolate Shake  Louisville region  small,490,12,15,88,350,9,0,75,3,67
White Castle ,Dessert,Dessert,Chocolate Shake  St. Louis Region  small,490,11,11,87,150,8,0,40,4,64
Burger King,Burgers/Sandwiches,Burger,BK Double Stacker,490,26,30,32,820,11,1,90,1,7
Burger King,Side,Side,Chicken Apple and Cranberry Garden Fresh Salad Wrap- crispy,500,18,24,54,1030,6,0,40,5,19
McDonald's,Breakfast,Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",500,21,26,46,1320,10,0,50,2,15
Wendy's,Breakfast,Breakfast,Artisan Egg Sandwich with All-Natural Sausage,500,24,32,30,870,13,1,280,1,4
White Castle ,Dessert,Dessert,Chocolate Shake  Columbus region  small,500,13,12,88,470,8,0,45,0,82
Burger King,Breakfast,Breakfast,Pancakes (3) and 1 oz breakfast syrup,500,7,19,77,700,5,0,95,1,36
Burger King,Burgers/Sandwiches,Chicken,Chicken Crisp Sandwich- classic,500,17,32,39,860,6,2,45,2,5
Burger King,Side,Side,French Fries  large (Salted),500,5,22,72,710,4,0,0,5,0
Wendy's,Side,Side,Large Natural-Cut Fries,500,6,24,65,540,5,0,0,6,0
Burger King,Breakfast,Breakfast,Hash Browns  medium,500,4,33,48,810,7,0,0,7,0
Burger King,Side,Side,Onion Rings  large,500,5,25,64,1310,5,0,0,5,7
McDonald's,Side,Side,Large French Fries,500,6,25,63,350,4,0,0,6,0
McDonald's,Burgers/Sandwiches,Pork ,McRib ,500,22,26,44,980,10,0,70,3,11
McDonald's,Breakfast,Breakfast,Sausage Biscuit with Egg (Regular Size Biscuit),510,18,33,36,1170,14,0,250,2,2
