Restaurant,Meal,MealType,ItemName,Calories,Protein,TotalFat,TotalCarbs,Sodium,SaturatedFat,TransFat,Cholesterol,Fiber,Sugar
McDonald's,Dessert,Dessert,McFlurry with M&MS Candies (12 fl oz cup),650,13,23,96,180,14,1,50,1,89
White Castle ,Dessert,Dessert,Chocolate Shake  Cincinnati region  small,650,14,17,111,350,11,0,35,0,88
Wendy's,Dessert,Dessert,"Caramel Frosty Shake, Small",650,10,14,121,320,9,1,50,0,96
Burger King,Breakfast,Breakfast,"DOUBLE CROISSANWICH w/ Sausage, Egg, & Cheese",660,29,48,27,1420,18,1,235,1,4
McDonald's,Dessert,Dessert,Vanilla McCaf Shake (16 fl oz cup),660,14,19,109,200,12,1,75,0,81
Burger King,Salad,Salad,Chicken Caesar Garden Fresh Salad w/ TENDERCRISP & dressing,670,34,43,40,1760,7,0,80,5,8
Wendy's,Burgers/Sandwiches,Chicken,Asiago Ranch Club w/ Homestyle Chicken,670,38,32,57,1640,9,0,100,4,9
White Castle ,Dessert,Dessert,Vanilla Shake  Chicago region  medium,670,17,12,122,510,7,0,50,3,103
McDonald's,Burgers/Sandwiches,Chicken,Premium Crispy Chicken Club Sandwich,670,36,33,58,1410,9,0,85,3,11
Wendy's,Burgers/Sandwiches,Chicken,Asiago Ranch Club w/ Spicy Chicken,670,37,32,57,1560,9,1,100,4,8
Burger King,Burgers/Sandwiches,Burger,DOUBLE WHOPPER Sandwich w/o Mayo,670,41,32,57,900,14,1,110,3,13
Burger King,Breakfast,Breakfast,Pancake and Sausage platter,670,14,34,78,1010,9,0,125,1,36
Burger King,Breakfast,Breakfast,Hash Browns  large,670,5,44,65,1080,9,0,0,9,0
Wendy's,Burgers/Sandwiches,Burger,Son of Baconator,670,38,37,41,1670,15,2,130,2,9
McDonald's,Dessert,Dessert,Egg Nog McCafe Shake (16 fl oz cup) Medium,680,14,19,111,220,12,1,75,0,93
Burger King,Salad,Salad,Chicken BLT Garden Fresh Salad w/ TENDERCRISP & dressing,690,35,48,31,1750,12,1,100,4,8
McDonald's,Breakfast,Breakfast,Big Breakfast with Egg Whites (Large Size Biscuit),690,26,41,55,1700,14,0,35,4,4
White Castle ,Dessert,Dessert,Chocolate Shake  Indianapolis region  medium,690,17,22,126,500,13,0,110,4,95
White Castle ,Dessert,Dessert,Chocolate Shake  Louisville region  medium,690,17,22,126,500,13,0,110,4,95
McDonald's,Dessert,Dessert,McFlurry with OREO Cookies (16 fl oz cup),690,15,23,106,380,12,1,55,1,85
White Castle ,Dessert,Dessert,Strawberry Shake  Columbus region  medium,690,19,16,122,670,11,0,65,0,117
McDonald's,Dessert,Dessert,Strawberry McCaf Shake (16 fl oz cup),690,15,20,114,210,13,1,75,0,100
Burger King,Salad,Salad,Chicken Apple & Cranberry Garden Fresh Salad w/ TENDERCRISP & dressing,700,28,41,54,1090,9,0,80,5,37
White Castle ,Dessert,Dessert,Chocolate Shake  St. Louis Region  medium,700,16,16,124,220,11,0,55,5,92
McDonald's,Dessert,Dessert,Chocolate McCaf Shake (16 fl oz cup),700,15,20,114,300,12,1,75,2,97
White Castle ,Dessert,Dessert,Chocolate Shake  Columbus region  medium,710,19,18,126,670,11,0,65,0,117
Burger King,Burgers/Sandwiches,Burger,WHOPPER Sandwich with Cheese,710,29,42,59,1380,15,1,85,3,14
McDonald's,Breakfast,Breakfast,Big Breakfast (Regular Size Biscuit),740,28,48,51,1560,17,0,555,3,3
White Castle ,Side,Side,Mozzarella Cheese Sticks  5 Sticks,740,21,55,36,1420,15,0.5,50,2,2
McDonald's,Burgers/Sandwiches,Burger,Double Quarter Pounder with Cheese++,750,48,43,42,1280,19,3,160,3,10
Burger King,Burgers/Sandwiches,Chicken,Premium Chicken Sandwich- Crispy,750,30,45,58,1560,8,1,70,3,8
Burger King,Burgers/Sandwiches,Burger,BK Quad Stacker,760,46,51,33,1270,22,2,170,1,8
White Castle ,Side,Side,French Fries  Sack,770,8,49,76,115,9,0,0,8,4
White Castle ,Dessert,Dessert,Strawberry Shake  Chicago region  medium,780,17,12,148,510,7,0,50,3,129
White Castle ,Dessert,Dessert,Chocolate Shake  Chicago region  medium,780,16,14,152,480,8,0,50,3,129
Wendy's,Dessert,Dessert,"Strawberry Frosty Shake, Large",780,13,15,149,240,10,1,60,1,134
White Castle ,Side,Side,Chicken Rings  9 Rings,790,26,71,18,910,14,0,160,1,0
McDonald's,Breakfast,Breakfast,Big Breakfast (Large Size Biscuit),800,28,52,56,1680,18,0,555,4,3
McDonald's,Dessert,Dessert,McFlurry with Reeses Peanut Butter Cup (16 fl oz cup),810,21,32,114,400,15,1,60,2,103
White Castle ,Dessert,Dessert,Chocolate Shake Nashville region  medium,810,19,19,143,340,13,0,60,0,112
White Castle ,Side,Side,French Fries (New Jersey region)  Sack,810,12,49,81,95,11,0,0,8,4
White Castle ,Side,Side,Buffalo Chicken Rings  9 Rings,810,26,71,22,1390,14,0,160,1,1
White Castle ,Side,Side,Ranch Chicken Rings  9 Rings,810,27,71,21,1300,14,0,160,1,1
Burger King,Burgers/Sandwiches,Pork ,Country Pork Sandwich,810,29,42,78,1910,13,0,75,4,10
McDonald's,Dessert,Dessert,Vanilla McCaf Shake (22 fl oz cup),820,18,23,135,260,15,1,90,0,101
Wendy's,Burgers/Sandwiches,Burger,1/2 lb. Double w/ Cheese,820,48,47,42,1510,20,3,170,3,10
Burger King,Burgers/Sandwiches,Burger,DOUBLE WHOPPER Sandwich with Cheesew/o Mayo,830,52,47,53,1340,21,2,150,3,11
McDonald's,Dessert,Dessert,Egg Nog McCafe Shake (22 fl oz cup) Large,830,18,23,137,270,15,1,90,0,116
Burger King,Burgers/Sandwiches,Burger,DOUBLE WHOPPER Sandwich,830,42,50,57,1040,17,1,120,3,13
McDonald's,Dessert,Dessert,Strawberry McCaf Shake (22 fl oz cup),850,18,24,140,260,15,1,90,0,123
McDonald's,Dessert,Dessert,Chocolate McCaf Shake (22 fl oz cup),850,19,23,141,380,15,1,85,2,120
White Castle ,Dessert,Dessert,Chocolate Shake Minneapolis region  large,860,19,19,163,860,10,0,95,0,134
White Castle ,Dessert,Dessert,Vanilla Shake  Columbus region  large,860,27,23,141,980,16,0,100,0,133
Burger King,Burgers/Sandwiches,Burger,TRIPLE WHOPPER Sandwich w/o Mayo,870,58,47,57,950,20,2,165,3,13
Wendy's,Dessert,Dessert,"Chocolate Frosty Shake, Large",870,15,17,164,380,11,1,60,4,148
White Castle ,Side,Side,Home-style Onion Rings Sack,890,11,61,74,1070,10,0,0,3,14
White Castle ,Dessert,Dessert,Strawberry Shake  Cincinnati region  medium,910,20,23,156,500,15,0,50,0,126
White Castle ,Dessert,Dessert,Chocolate Shake  New Jersey Region  large,910,28,26,153,760,14,0,85,6,119
White Castle ,Dessert,Dessert,Vanilla Shake  Cincinnati region  medium,910,20,23,156,500,15,0,50,0,126
White Castle ,Dessert,Dessert,Vanilla Shake  New Jersey Region  large,910,34,26,137,970,17,0,115,0,114
White Castle ,Dessert,Dessert,Chocolate Shake  Detroit region  large,920,25,25,141,830,13,0,85,0,141
White Castle ,Dessert,Dessert,Chocolate Shake  Cincinnati region  medium,930,20,24,160,500,15,0,50,0,126
McDonald's,Dessert,Dessert,McFlurry with M&MS Candies (16 fl oz cup),930,20,33,139,260,20,1,75,2,128
White Castle ,Side,Side,Onion Chips    Medium,930,8,65,73,1550,11,0,0,13,8
McDonald's,Burgers/Sandwiches,Chicken,Chicken McNuggets (20 piece),940,44,59,59,1800,10,0,135,3,0
Wendy's,Burgers/Sandwiches,Burger,Baconator,940,57,56,41,1890,23,3,205,2,9
Burger King,Burgers/Sandwiches,Chicken,Chicken Nuggets (20 pc),950,51,55,50,1530,11,0,130,5,0
White Castle ,Dessert,Dessert,Vanilla Shake  Chicago region  large,980,25,18,179,750,11,0.5,70,5,151
McDonald's,Breakfast,Breakfast,Big Breakfast with Hotcakes & Egg Whites (Regular Biscuit),990,35,46,110,2170,16,0,55,6,17
Burger King,Burgers/Sandwiches,Burger,DOUBLE WHOPPER Sandwich with Cheese,990,52,65,53,1480,24,2,160,3,11
Wendy's,Dessert,Dessert,"Caramel Frosty Shake, Large",990,14,18,195,510,11,1,70,0,153
Burger King,Burgers/Sandwiches,Burger,Texas DOUBLE WHOPPER Sandwich,1000,52,66,55,1860,24,2,155,3,11
White Castle ,Dessert,Dessert,Strawberry Shake  Columbus region  large,1010,27,23,180,980,16,0,100,0,171
White Castle ,Dessert,Dessert,Chocolate Shake  Indianapolis region  large,1020,25,32,184,730,19,0,160,6,140
White Castle ,Dessert,Dessert,Chocolate Shake  Louisville region  large,1020,25,32,184,730,19,0,160,6,140
Burger King,Burgers/Sandwiches,Burger,TRIPLE WHOPPER Sandwich,1020,58,65,57,1090,23,2,175,3,13
White Castle ,Dessert,Dessert,Chocolate Shake  St. Louis Region  large,1030,24,24,182,320,16,0,80,8,134
White Castle ,Dessert,Dessert,Chocolate Shake  Columbus region  large,1040,27,26,183,980,16,0,100,0,171
McDonald's,Breakfast,Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),1050,35,50,115,2290,16,0,55,7,18
McDonald's,Side,Chicken,Spicy Chicken McBites Shareable Size,1050,48,63,73,1620,9,0,110,20,1
McDonald's,Breakfast,Breakfast,Big Breakfast with Hotcakes (Regular Size Biscuit),1090,36,56,111,2150,19,0,575,6,17
Wendy's,Burgers/Sandwiches,Burger,3/4 lb. Triple w/ Cheese,1090,69,66,43,1990,29,4,255,3,11
White Castle ,Side,Side,Fish Nibblers   Sack,1100,55,53,95,2390,10,0,35,3,3
White Castle ,Dessert,Dessert,Strawberry Shake  Chicago region  large,1140,25,18,217,750,11,0.5,70,5,189
McDonald's,Breakfast,Breakfast,Big Breakfast with Hotcakes (Large Size Biscuit),1150,36,60,116,2260,20,0,575,7,17
White Castle ,Dessert,Dessert,Chocolate Shake  Chicago region  large,1150,24,21,220,700,12,0.5,70,5,189
White Castle ,Dessert,Dessert,Chocolate Shake Nashville region  large,1190,27,27,210,500,18,0,90,0,165
White Castle ,Dessert,Dessert,Strawberry Shake  Cincinnati region  large,1330,29,33,229,730,22,0,75,0,185
White Castle ,Dessert,Dessert,Vanilla Shake  Cincinnati region  large,1330,29,33,229,730,22,0,75,0,185
White Castle ,Breakfast,Breakfast,Hash Round Nibblers (New Jersey)  Sack,1330,9,101,92,1520,22,0,0,9,0
White Castle ,Dessert,Dessert,Chocolate Shake  Cincinnati region  large,1350,29,35,234,730,22,0,70,0,185
White Castle ,Side,Side,Onion Chips    Sack,1350,11,101,92,1950,17,0,0,16,11
White Castle ,Breakfast,Breakfast,Hash Round Nibblers  Sack,1440,10,110,101,1830,17,0,0,10,0
Burger King,Breakfast,Breakfast,BK Ultimate Breakfast Platter,1450,40,84,134,2920,30,1,505,5,41
White Castle ,Side,Side,Mozzarella Cheese Sticks  10 Sticks,1470,41,111,73,2850,31,1,100,4,4
White Castle ,Side,Side,Chicken Rings  20 Rings,1760,58,158,41,2020,31,0,355,2,1
White Castle ,Side,Side,Buffalo Chicken Rings  20 Rings,1790,59,158,47,2940,31,0,355,2,2
White Castle ,Side,Side,Ranch Chicken Rings  20 Rings,1790,60,159,46,2760,31,0,360,2,3
